,group,website,coder
0,Washington DC Guided Night Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349NIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349NIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11453867-Washington_DC_Guided_Night_Tour-Washington_DC_District_of_Columbia.html', 'title', '6349NIGHT', '0');",d11453867
18,Washington DC Monuments by Moonlight Night Tour by Trolley,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5046WAS_MON','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5046WAS_MON','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11450501-Washington_DC_Monuments_by_Moonlight_Night_Tour_by_Trolley-Washington_DC_District_of_Columbia.html', 'title', '5046WAS_MON', '1');",d11450501
35,"Washington DC Hop-On Hop-Off Trolley, Guided Tour of Arlington...","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5046WAS_OTT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5046WAS_OTT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11450502-Washington_DC_Hop_On_Hop_Off_Trolley_Guided_Tour_of_Arlington_National_Cemetery-Was.html', 'title', '5046WAS_OTT', '2');",d11450502
52,Guided Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766SIGTOUR','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766SIGTOUR','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11454634-Guided_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '6766SIGTOUR', '3');",d11454634
69,Big Bus Washington DC Hop-On Hop-Off Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5096DCHOHO','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5096DCHOHO','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11450627-Big_Bus_Washington_DC_Hop_On_Hop_Off_Tour-Washington_DC_District_of_Columbia.html', 'title', '5096DCHOHO', '4');",d11450627
87,Day Trip to Mount Vernon from Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8034P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8034P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11456142-Day_Trip_to_Mount_Vernon_from_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '8034P4', '5');",d11456142
105,Washington DC Monuments by Moonlight Electric Cart Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713UASEA12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713UASEA12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11452577-Washington_DC_Monuments_by_Moonlight_Electric_Cart_Tour-Washington_DC_District_of_C.html', 'title', '5713UASEA12', '6');",d11452577
123,Capitol Hill and DC Monuments Tour by Electric Cart,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713UNVEILED','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713UNVEILED','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11452578-Capitol_Hill_and_DC_Monuments_Tour_by_Electric_Cart-Washington_DC_District_of_Colum.html', 'title', '5713UNVEILED', '7');",d11452578
144,See the City Segway Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('60725P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('60725P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d13201021-See_the_City_Segway_Tour-Washington_DC_District_of_Columbia.html', 'title', '60725P1', '8');",d13201021
162,Arlington National Cemetery Hop-On Hop-Off Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5046WAS_ARL','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5046WAS_ARL','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11450500-Arlington_National_Cemetery_Hop_On_Hop_Off_Tour-Washington_DC_District_of_Columbia.html', 'title', '5046WAS_ARL', '9');",d11450500
179,"Viator VIP: Best of DC Including US Capitol, National Archives...","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349VIPDC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349VIPDC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11453868-Viator_VIP_Best_of_DC_Including_US_Capitol_National_Archives_Reserved_Access_White_House_and_Lincoln_Memorial-Washington_DC_District_of_Columbia.html', 'title', '6349VIPDC', '10');",d11453868
197,Arlington National Cemetery Guided Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41377P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41377P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11991983-Arlington_National_Cemetery_Guided_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '41377P3', '11');",d11991983
