,day_reviewed,header,text
0,"June 12, 2018",Washington at Night is the Best,"Took the Night Tour with Christ (Guide) and Neal (Driver) on the night the Washington Capitols Ice Hockey team made it to Stanley Cup Champions. Enjoyed every minute of the tour, did not make a reservation but luckily got a spot. Christ provided ton of...More"
1,"June 9, 2018",Neal and Nick made it worthwhile,"It was a cool night but we enjoyed every minute of our tour. Nick was personable, professional and knowledgeable. He did a great job providing information and offering additional details when asked. He was entertaining but always focused on providing us with history of our...More"
2,"June 8, 2018",Great way to see the monuments!,My husband and I just returned from the night tour with Chris as our tour guide ( and Neil as our driver). It was a surpirse I booked for my husbands thirtieth birthday and his first time to DC. He cant stop saying how nice...More
3,"June 8, 2018",Great tour! Essau and driver were awesome! ,We arrived in the late afternoon and had been told to do a night tour. We thought it would be a wonderful way to get an overview of Washington for the rest of our trip but it was much more than that! Our tour guide...More
4,"June 7, 2018",Nighttime tour of the mounuments,"Excellent guide, Andrew, and driver, Dougna! Andrew was very entertaining with his facts and stories."
5,"June 6, 2018",Amazing Guide Amazing Tour,I came to town with little time to spare for a conference and wanted to see as many of the major sights as I could. I took a dusk/night tour with a fellow conference attendee and had an absolute blast. Our guide Christopher was extremely...More
6,"June 6, 2018",Beautiful way to see the highlights of Washington DC National Mall,"This was the highlight of my visit to Washington DC. Our tour guide, Esau, was funny and extremely knowledgeable. I learned and laughed while taking in the beautiful sights of Washington DC. Having Esau there to point out all the symbolism and significance in the...More"
7,"June 3, 2018",Perfect way to see the monuments,"We had very little time in DC and wanted to fit in as much as possible. We decided to try this night tour in order to maximize the daytime hours. It was wonderful! Edgar was incredibly knowledgeable, funny and accommodating (he even loaned me his...More"
8,"June 1, 2018",Great Tour,"Unfortunately, the night of our tour it was raining. What could have been a disaster was made very enjoyable by our very knowledgeable and humorous guide Edgar. It is a great way to see all of the major monuments and seeing them lit up at...More"
9,"May 28, 2018",Worth It!,Highly recommend taking the DC at Dusk Tour. You won't be disappointed. Kudos to Osei our punctual bus driver who picked us up at the Mayflower Hotel. Kudos to our great tour guide Nick who was not only very knowledgeable but also very entertaining! Nick...More
10,"May 25, 2018",Terrible weather/Great guide and driver,"Pouring rain and cold the night of our tour. But Ali, the driver, made sure we were in a safe place when boarding/discharging, and the tour guide, Edgar, made the tour enjoyable. Quite a feat in that weather. Some of the monuments were more memorable...More"
11,"May 25, 2018",Great evening tour!,"The monuments look even better by night. It was a warm evening and our guide made sure to have bottled water ready for anyone who needed it. We had a personable, knowledgeable tour guide, who was accommodating to requests made by the passengers. Recommended!"
